..\..\genre-recognition\data\genres\reggae\reggae.00000.mp3 Predicted :  reggae 99.89% 0.11% 0.00%
..\..\genre-recognition\data\genres\reggae\reggae.00001.mp3 Predicted :  reggae 100.00% 0.00% 0.00%
..\..\genre-recognition\data\genres\reggae\reggae.00002.mp3 Predicted :  reggae 64.88% 32.21% 2.91%
..\..\genre-recognition\data\genres\reggae\reggae.00003.mp3 Predicted :  reggae 99.82% 0.18% 0.00%
..\..\genre-recognition\data\genres\reggae\reggae.00004.mp3 Predicted :  reggae 99.39% 0.23% 0.39%
..\..\genre-recognition\data\genres\reggae\reggae.00005.mp3 Predicted :  reggae 99.99% 0.01% 0.00%
..\..\genre-recognition\data\genres\reggae\reggae.00006.mp3 Predicted :  reggae 99.88% 0.10% 0.02%
..\..\genre-recognition\data\genres\reggae\reggae.00007.mp3 Predicted :  reggae 100.00% 0.00% 0.00%
..\..\genre-recognition\data\genres\reggae\reggae.00008.mp3 Predicted :  reggae 98.59% 0.35% 1.06%
..\..\genre-recognition\data\genres\reggae\reggae.00009.mp3 Predicted :  reggae 99.97% 0.01% 0.02%
..\..\genre-recognition\data\genres\reggae\reggae.00010.mp3 Predicted :  reggae 94.79% 0.17% 5.04%
..\..\genre-recognition\data\genres\reggae\reggae.000100.mp3 Predicted :  reggae 92.93% 1.02% 6.05%
..\..\genre-recognition\data\genres\reggae\reggae.000101.mp3 Predicted :  reggae 98.85% 1.02% 0.12%
..\..\genre-recognition\data\genres\reggae\reggae.000102.mp3 Predicted :  reggae 99.96% 0.00% 0.04%
..\..\genre-recognition\data\genres\reggae\reggae.000103.mp3 Predicted :  reggae 100.00% 0.00% 0.00%
..\..\genre-recognition\data\genres\reggae\reggae.000104.mp3 Predicted :  reggae 99.96% 0.04% 0.00%
..\..\genre-recognition\data\genres\reggae\reggae.000105.mp3 Predicted :  reggae 100.00% 0.00% 0.00%
..\..\genre-recognition\data\genres\reggae\reggae.000106.mp3 Predicted :  reggae 75.12% 5.38% 19.50%
..\..\genre-recognition\data\genres\reggae\reggae.000107.mp3 Predicted :  reggae 99.96% 0.04% 0.00%
..\..\genre-recognition\data\genres\reggae\reggae.000108.mp3 Predicted :  reggae 87.67% 0.09% 12.25%
..\..\genre-recognition\data\genres\reggae\reggae.000109.mp3 Predicted :  reggae 93.59% 0.26% 6.15%
..\..\genre-recognition\data\genres\reggae\reggae.00011.mp3 Predicted :  reggae 98.45% 0.19% 1.36%
..\..\genre-recognition\data\genres\reggae\reggae.000110.mp3 Predicted :  reggae 85.63% 14.34% 0.03%
..\..\genre-recognition\data\genres\reggae\reggae.000111.mp3 Predicted :  reggae 100.00% 0.00% 0.00%
..\..\genre-recognition\data\genres\reggae\reggae.000112.mp3 Predicted :  reggae 78.57% 19.04% 2.39%
..\..\genre-recognition\data\genres\reggae\reggae.000113.mp3 Predicted :  reggae 99.76% 0.23% 0.01%
..\..\genre-recognition\data\genres\reggae\reggae.000114.mp3 Predicted :  reggae 99.99% 0.01% 0.00%
..\..\genre-recognition\data\genres\reggae\reggae.000115.mp3 Predicted :  reggae 98.83% 0.50% 0.67%
..\..\genre-recognition\data\genres\reggae\reggae.000116.mp3 Predicted :  reggae 100.00% 0.00% 0.00%
